"term","definition","type","right","wrong"
"DOM","The ________ (Document Object Model) is like a blueprint for your web page. It tells the browser how to display everything, so when you change the ________, you're basically telling the browser to update something on the page.

Example:
document.getElementById('content').innerHTML = 'Hello, world!';","HTML","0","0"
"Concatenate","When you 'concatenate' two strings, you're just sticking them together like puzzle pieces. For example, 'hello' + ' world' becomes 'hello world'. It's an easy way to build longer sentences from smaller ones.

Example:
'Hello, ' + 'World!' // Outputs: 'Hello, World!'","General","0","0"
"Instantiate","Instantiating is a fancy word that means creating an object from a class. Think of it like baking cookies from a cookie cutter. The class is the cookie cutter (the template), and each cookie you make is an instance (or object) of that class.

Example:
let myCar = new Car('Toyota', 'Corolla');","General","0","0"
"Implicit Coercion","Implicit coercion happens when JavaScript automatically changes the type of one value to another type to make it work. For example, when you try to add a number and a string together, JavaScript will turn the number into a string behind the scenes.

Example:
'5' + 2 // Outputs: '52'","General","0","0"
"Explicit Coercion","Explicit coercion is when you, the programmer, decide to change a value's type yourself. For example, if you want to turn a string into a number, you'd use something like `Number('5')` to do it.

Example:
Number('5') + 2 // Outputs: 7","General","0","0"
"NaN Value","A JavaScript value representing an unrepresentable or invalid number.","General","0","0"
"Initialize","To assign an initial value to a variable.","General","0","0"
"Array","A data structure that stores a collection of items.. usually of the same type.. in an ordered list.","General","0","0"
"Element","consists of a start tag.. its attributes (if any).. content.. and an end tag. It is a fundamental building block of a web page.","HTML","0","0"
"Tag","An HTML structure wrapped in angle brackets.. such as <div> or <span>.","HTML","0","0"
"Grid","Defines the layout of a grid-based structure in CSS.","CSS","0","0"
"Flexbox","A CSS layout model for creating flexible and responsive design.","CSS","0","0"
"Border","A property in CSS used to set the border around elements.","CSS","0","0"
"Section","A semantic HTML tag that represents a section in a document.","HTML","0","0"
"Menu","A semantic HTML tag used to represent a list of commands or menu items.","HTML","0","0"
"Defer Boolean Attribute","The 'defer' attribute is a boolean attribute for the <script> tag that makes the browser wait to execute the script until the HTML document has been fully parsed.","JavaScript","0","0"
"JavaScript Date Object","An object in JavaScript that represents a single moment in time and allows you to get or set various date and time components.","JavaScript","0","0"
"Method","A function associated with an object.. accessed using dot notation.. such as dateObject.getFullYear().","JavaScript","0","0"
"Span Element","An inline element in HTML used to apply styles or scripts to a small portion of text or content.","HTML","0","0"
"Defer Object","Allows JavaScript to be executed after the document has been parsed.. improving performance and avoiding blocking rendering.","JavaScript","0","0"
"lastModified Property","A property of the document object that returns the date and time the document was last modified.","JavaScript","0","0"
"Object vs Method","Objects are data structures.. while methods are functions associated with those objects. Methods are accessed using dot notation.. like object.method().","JavaScript","0","0"
"Document Object","The root object representing the entire HTML document in the browser. It provides methods and properties for interacting with the document.","JavaScript","0","0"
"Template Literals","String literals in JavaScript that allow for embedded expressions.. using backticks (`) and ${} for variable interpolation.","JavaScript","0","0"
"JavaScript Switch Statement","A control flow statement used to execute one block of code among many options based on the value of a variable or expression.","JavaScript","0","0"
"JavaScript Conditional Statements","Statements like if.. else if.. and else that allow for conditional execution of code segments based on whether a condition is true or false.","JavaScript","0","0"
"JavaScript Looping Statements","Statements like for.. while.. and do...while that allow for repetitive execution of code segments as long as a condition remains true.","JavaScript","0","0"
"QuerySelector Method","A method that returns the first element within the document that matches the specified selector.. or group of selectors.","JavaScript","0","0"
"Click Event","An event triggered when an element is clicked.. often used to trigger specific functions in response to user interaction.","JavaScript","0","0"
"Keyup Event","An event triggered when a key is released after being pressed. Useful for handling input changes in real-time.","JavaScript","0","0"
"DOMContentLoaded Event","An event that fires when the initial HTML document has been completely loaded and parsed.. without waiting for stylesheets.. images.. and subframes to finish loading.","JavaScript","0","0"
